trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.4, 'e': 0.8950000000000022}",25,0,-212.0167103270613,"{0: 14, 1: 3, 2: 3, 3: 1, 4: 4}",0
43,False,"{'a': 0.4, 'e': 0.8925000000000023}",25,0,-84.60988556414374,"{0: 15, 1: 0, 2: 10, 3: 0, 4: 0}",0
44,False,"{'a': 0.4, 'e': 0.8900000000000023}",20,0,-41.38526239293073,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
45,False,"{'a': 0.4, 'e': 0.8875000000000024}",25,0,-212.78767577160974,"{0: 13, 1: 4, 2: 3, 3: 1, 4: 4}",0
46,False,"{'a': 0.4, 'e': 0.8850000000000025}",25,0,-80.92541626044019,"{0: 16, 1: 3, 2: 3, 3: 3, 4: 0}",1
47,False,"{'a': 0.4, 'e': 0.8825000000000025}",20,0,-53.901812723477626,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
48,False,"{'a': 0.4, 'e': 0.8800000000000026}",30,0,-180.06819452055055,"{0: 15, 1: 4, 2: 8, 3: 1, 4: 2}",0
49,False,"{'a': 0.4, 'e': 0.8775000000000026}",20,0,-105.57257967102701,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
50,False,"{'a': 0.4, 'e': 0.8750000000000027}",25,0,-93.33611180574991,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
51,False,"{'a': 0.4, 'e': 0.8725000000000027}",25,0,-70.11117431911256,"{0: 18, 1: 3, 2: 2, 3: 1, 4: 1}",0
52,False,"{'a': 0.4, 'e': 0.8700000000000028}",25,0,-225.6988036011694,"{0: 12, 1: 3, 2: 4, 3: 3, 4: 3}",0
53,False,"{'a': 0.4, 'e': 0.8675000000000028}",25,5,-57.01663596194949,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",1
54,False,"{'a': 0.4, 'e': 0.8650000000000029}",30,14,-26.15841782570412,"{0: 12, 1: 1, 2: 2, 3: 1, 4: 0}",1
55,False,"{'a': 0.4, 'e': 0.8625000000000029}",30,0,-84.11496511853721,"{0: 20, 1: 3, 2: 5, 3: 2, 4: 0}",0
56,False,"{'a': 0.4, 'e': 0.860000000000003}",25,0,-154.142882621091,"{0: 15, 1: 5, 2: 2, 3: 0, 4: 3}",0
57,False,"{'a': 0.4, 'e': 0.857500000000003}",30,0,-109.4583626361821,"{0: 19, 1: 3, 2: 5, 3: 3, 4: 0}",0
58,False,"{'a': 0.4, 'e': 0.8550000000000031}",25,18,-9.24493367602538,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
59,False,"{'a': 0.4, 'e': 0.8525000000000031}",20,0,-111.48933275164039,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
60,False,"{'a': 0.4, 'e': 0.8500000000000032}",20,0,-24.7330237203716,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
61,False,"{'a': 0.4, 'e': 0.8475000000000033}",20,0,-65.84157164797635,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
62,False,"{'a': 0.4, 'e': 0.8450000000000033}",35,4,-74.88750104683587,"{0: 21, 1: 5, 2: 4, 3: 0, 4: 1}",1
63,False,"{'a': 0.4, 'e': 0.8425000000000034}",25,0,-47.432829831619635,"{0: 16, 1: 4, 2: 5, 3: 0, 4: 0}",0
64,False,"{'a': 0.4, 'e': 0.8400000000000034}",25,16,-15.812901419748666,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 0}",1
65,False,"{'a': 0.4, 'e': 0.8375000000000035}",20,0,-37.512822147697506,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
66,False,"{'a': 0.4, 'e': 0.8350000000000035}",20,0,-63.602657781542376,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
